chr,start,end,length,abs_summit,pileup,enrichment,fold_enrichment,enrichment,name
chr10,95971972,95972885,914,95972393,54.33,57.39984,18.44234,51.20663,AluGG-MRE11_hg38_final_peak_31
chr3,32832067,32832775,709,32832293,35.82,41.99294,18.41,36.23685,AluGG-MRE11_hg38_final_peak_125
chr6,88942113,88942846,734,88942626,26.87,35.4701,18.08405,29.89427,AluGG-MRE11_hg38_final_peak_166
chr13,77321467,77322378,912,77322121,50.75,52.96835,17.94464,46.93948,AluGG-MRE11_hg38_final_peak_51
chr6,73361366,73362129,764,73361616,28.06,36.91878,17.76536,31.32058,AluGG-MRE11_hg38_final_peak_165
chr19,47167803,47168500,698,47168199,26.27,35.45583,17.68889,29.89427,AluGG-MRE11_hg38_final_peak_96
chr1,224878668,224879716,1049,224878940,34.63,39.91426,17.49825,34.21883,AluGG-MRE11_hg38_final_peak_23
chr1,173801897,173802593,697,173802192,26.27,34.96663,17.42278,29.43332,AluGG-MRE11_hg38_final_peak_18
chr4,41970368,41970996,629,41970692,32.84,37.36003,16.9175,31.72622,AluGG-MRE11_hg38_final_peak_139
chr9,84386874,84387579,706,84387180,24.48,32.08928,16.53427,26.6294,AluGG-MRE11_hg38_final_peak_192
chr19,6603144,6604113,970,6603719,23.88,30.42406,16.14682,25.00531,AluGG-MRE11_hg38_final_peak_93
chr2,70336088,70336749,662,70336373,23.88,30.42406,16.14682,25.00531,AluGG-MRE11_hg38_final_peak_103
chr20,50898963,50899728,766,50899474,23.28,30.42406,15.75938,25.00531,AluGG-MRE11_hg38_final_peak_116
chr7,128508041,128508712,672,128508228,23.88,29.16293,15.43264,23.78731,AluGG-MRE11_hg38_final_peak_174
chr9,97850767,97851453,687,97851042,29.85,32.84373,15.425,27.36783,AluGG-MRE11_hg38_final_peak_193
chr10,68501769,68502487,719,68502184,22.69,28.77653,15.37193,23.40876,AluGG-MRE11_hg38_final_peak_27
chr20,44190497,44191243,747,44190743,22.69,28.77653,15.37193,23.40876,AluGG-MRE11_hg38_final_peak_115
chr16,408898,409882,985,409440,29.25,32.84373,15.1265,27.36783,AluGG-MRE11_hg38_final_peak_67
chr19,7223819,7224465,647,7224006,29.25,32.84373,15.1265,27.36783,AluGG-MRE11_hg38_final_peak_94
chr19,4989119,4989827,709,4989333,22.09,28.77653,14.98448,23.40876,AluGG-MRE11_hg38_final_peak_92
chr1,179010045,179010850,806,179010364,21.49,27.14746,14.59704,21.82954,AluGG-MRE11_hg38_final_peak_19
chr16,21127180,21127884,705,21127587,21.49,27.14746,14.59704,21.82954,AluGG-MRE11_hg38_final_peak_70
chr17,37293367,37294014,648,37293669,21.49,27.14746,14.59704,21.82954,AluGG-MRE11_hg38_final_peak_77
chr2,131112807,131113583,777,131113314,28.06,31.36613,14.5295,25.92709,AluGG-MRE11_hg38_final_peak_106
chr22,36510035,36510777,743,36510447,25.67,28.82672,14.43536,23.45771,AluGG-MRE11_hg38_final_peak_121
chr12,88060071,88060766,696,88060595,27.46,29.90321,14.231,24.51717,AluGG-MRE11_hg38_final_peak_47
chr2,21661349,21661881,533,21661672,27.46,29.90321,14.231,24.51717,AluGG-MRE11_hg38_final_peak_98
chr22,17686967,17687752,786,17687572,23.88,27.05753,14.18928,21.75295,AluGG-MRE11_hg38_final_peak_118
chr17,48021572,48023118,1547,48022616,20.3,25.5266,13.81612,20.26081,AluGG-MRE11_hg38_final_peak_80
chrX,71977198,71977939,742,71977418,20.9,24.4377,13.5811,19.1992,AluGG-MRE11_hg38_final_peak_203
chr2,27884070,27884676,607,27884468,21.49,25.30526,13.55547,20.05733,AluGG-MRE11_hg38_final_peak_99
chr6,35526668,35527297,630,35527031,19.7,23.94799,13.4347,18.72796,AluGG-MRE11_hg38_final_peak_163
chr17,50492525,50493054,530,50492846,19.1,23.94799,13.04726,18.72796,AluGG-MRE11_hg38_final_peak_81
chr3,40174693,40175270,578,40175138,25.07,27.02355,13.037,21.72072,AluGG-MRE11_hg38_final_peak_126
chr5,108412131,108412776,646,108412524,19.7,22.90176,12.84048,17.72653,AluGG-MRE11_hg38_final_peak_151
chr21,14956297,14956827,531,14956640,20.3,23.78131,12.83587,18.59285,AluGG-MRE11_hg38_final_peak_117
chr1,51353357,51354068,712,51353702,24.48,25.60793,12.7385,20.32527,AluGG-MRE11_hg38_final_peak_5
chr4,63791271,63792077,807,63791761,24.48,25.60793,12.7385,20.32527,AluGG-MRE11_hg38_final_peak_142
chr11,78530339,78530915,577,78530727,18.51,22.37947,12.65981,17.22332,AluGG-MRE11_hg38_final_peak_39
chr4,56962992,56963443,452,56963290,20.9,22.33157,12.32146,17.18982,AluGG-MRE11_hg38_final_peak_141
chr1,51639634,51640280,647,51639951,18.51,21.38695,12.09986,16.26345,AluGG-MRE11_hg38_final_peak_6
chr17,59848791,59849223,433,59849070,17.91,20.50072,12.08247,15.41964,AluGG-MRE11_hg38_final_peak_84
chr14,72645097,72645672,576,72645466,17.91,20.19127,11.9034,15.11315,AluGG-MRE11_hg38_final_peak_61
chrX,38698356,38699064,709,38698723,20.9,21.56724,11.85041,16.43571,AluGG-MRE11_hg38_final_peak_200
chr14,77492723,77493439,717,77493006,22.69,22.82834,11.843,17.65839,AluGG-MRE11_hg38_final_peak_62
chr22,24888819,24889394,576,24889240,22.69,22.82834,11.843,17.65839,AluGG-MRE11_hg38_final_peak_120
chr9,19506325,19506885,561,19506498,22.09,23.16629,11.74809,17.98653,AluGG-MRE11_hg38_final_peak_186
chr9,76731748,76732573,826,76732318,22.09,22.82834,11.5445,17.65839,AluGG-MRE11_hg38_final_peak_191
chr17,2403751,2404655,905,2404109,32.84,27.847,11.27833,22.52086,AluGG-MRE11_hg38_final_peak_74
chr20,25585923,25586399,477,25586138,21.49,21.46579,11.246,16.33551,AluGG-MRE11_hg38_final_peak_113
chr10,63608958,63609675,718,63609195,16.12,19.31028,11.11003,14.26355,AluGG-MRE11_hg38_final_peak_26
chr8,69367727,69368254,528,69367955,16.12,19.31028,11.11003,14.26355,AluGG-MRE11_hg38_final_peak_179
chr19,660331,661074,744,660837,32.24,27.847,11.07933,22.52086,AluGG-MRE11_hg38_final_peak_91
chr5,93917324,93918102,779,93917816,20.9,20.12248,10.9475,15.04655,AluGG-MRE11_hg38_final_peak_150
chr3,145067979,145068606,628,145068466,15.52,17.81213,10.72258,12.82266,AluGG-MRE11_hg38_final_peak_131
chr6,24346379,24346904,526,24346722,15.52,17.81213,10.72258,12.82266,AluGG-MRE11_hg38_final_peak_161
chr8,21926811,21927522,712,21927020,15.52,17.81213,10.72258,12.82266,AluGG-MRE11_hg38_final_peak_176
chr8,26574581,26575315,735,26574939,15.52,17.81213,10.72258,12.82266,AluGG-MRE11_hg38_final_peak_177
chr12,25688613,25689199,587,25688952,20.3,20.12248,10.649,15.04655,AluGG-MRE11_hg38_final_peak_43
chr4,153431859,153432498,640,153432096,20.3,20.12248,10.649,15.04655,AluGG-MRE11_hg38_final_peak_145
chr16,20629959,20630578,620,20630147,19.7,18.79928,10.3505,13.78465,AluGG-MRE11_hg38_final_peak_69
chr3,27402363,27402644,282,27402444,14.93,16.34021,10.33513,11.39163,AluGG-MRE11_hg38_final_peak_124
chr3,172628409,172628760,352,172628552,14.93,16.34021,10.33513,11.39163,AluGG-MRE11_hg38_final_peak_134
chr5,180661684,180662206,523,180662041,16.72,16.94996,10.10359,11.9945,AluGG-MRE11_hg38_final_peak_158
chr1,155403925,155404579,655,155404319,29.25,24.23245,10.08433,18.99664,AluGG-MRE11_hg38_final_peak_13
chr9,35693464,35693972,509,35693627,29.25,24.23245,10.08433,18.99664,AluGG-MRE11_hg38_final_peak_189
chr15,38620410,38620956,547,38620826,19.1,18.79928,10.052,13.78465,AluGG-MRE11_hg38_final_peak_64
chr5,157830918,157831209,292,157831022,19.1,18.79928,10.052,13.78465,AluGG-MRE11_hg38_final_peak_156
chr10,73256439,73257049,611,73256793,14.33,16.34021,9.94769,11.39163,AluGG-MRE11_hg38_final_peak_28
chr11,119159096,119159587,492,119159250,14.33,16.34021,9.94769,11.39163,AluGG-MRE11_hg38_final_peak_42
chr17,6519155,6519628,474,6519410,14.33,16.34021,9.94769,11.39163,AluGG-MRE11_hg38_final_peak_75
chr2,127669267,127669831,565,127669436,14.33,16.34021,9.94769,11.39163,AluGG-MRE11_hg38_final_peak_105
chr2,218967302,218967820,519,218967462,14.33,16.34021,9.94769,11.39163,AluGG-MRE11_hg38_final_peak_110
chr5,178097655,178098276,622,178097977,14.33,16.06471,9.79377,11.15351,AluGG-MRE11_hg38_final_peak_157
chr22,38430149,38430742,594,38430545,17.91,16.66212,9.73841,11.71014,AluGG-MRE11_hg38_final_peak_123
chrX,71354895,71355401,507,71355309,14.93,15.09876,9.59767,10.20824,AluGG-MRE11_hg38_final_peak_202
chr3,49214963,49215440,478,49215283,13.73,14.89619,9.56024,10.01818,AluGG-MRE11_hg38_final_peak_127
chrX,97441379,97442138,760,97441746,27.46,21.89293,9.48733,16.75613,AluGG-MRE11_hg38_final_peak_205
chr1,17033969,17034567,599,17034409,17.91,16.21722,9.455,11.29568,AluGG-MRE11_hg38_final_peak_1
chr1,160251321,160252003,683,160251736,17.91,16.21722,9.455,11.29568,AluGG-MRE11_hg38_final_peak_16
chr8,73979994,73980455,462,73980108,13.73,14.63967,9.41232,9.79866,AluGG-MRE11_hg38_final_peak_181
chr16,3105072,3105623,552,3105396,14.33,15.32612,9.37084,10.42939,AluGG-MRE11_hg38_final_peak_68
chr13,91009966,91010565,600,91010113,26.87,20.74566,9.28833,15.65967,AluGG-MRE11_hg38_final_peak_52
chr2,32467055,32467642,588,32467307,13.13,14.89619,9.1728,10.01818,AluGG-MRE11_hg38_final_peak_100
chr5,61365845,61366281,437,61366111,13.13,14.89619,9.1728,10.01818,AluGG-MRE11_hg38_final_peak_148
chr8,80688349,80689102,754,80688849,13.13,14.89619,9.1728,10.01818,AluGG-MRE11_hg38_final_peak_182
chr9,100489078,100489660,583,100489449,17.31,16.21722,9.1565,11.29568,AluGG-MRE11_hg38_final_peak_194
chr1,167274898,167275373,476,167275006,16.12,15.92625,9.14887,11.02055,AluGG-MRE11_hg38_final_peak_17
chr17,57010482,57011007,526,57010733,27.46,21.23967,9.12525,16.12021,AluGG-MRE11_hg38_final_peak_83
chr1,119714383,119715138,756,119714646,26.27,20.74566,9.08933,15.65967,AluGG-MRE11_hg38_final_peak_10
chr13,73088457,73089014,558,73088587,22.09,18.65525,9.04046,13.65479,AluGG-MRE11_hg38_final_peak_50
chr6,8085006,8085633,628,8085423,34.63,24.58018,8.9065,19.3388,AluGG-MRE11_hg38_final_peak_159
chr1,40029475,40029749,275,40029504,12.54,13.482,8.78535,8.67185,AluGG-MRE11_hg38_final_peak_4
chr14,50346579,50347033,455,50346892,12.54,13.482,8.78535,8.67185,AluGG-MRE11_hg38_final_peak_55
chr14,63637936,63638287,352,63638178,12.54,13.482,8.78535,8.67185,AluGG-MRE11_hg38_final_peak_58
chr16,47371879,47372319,441,47372183,12.54,13.482,8.78535,8.67185,AluGG-MRE11_hg38_final_peak_72
chr17,81668961,81669527,567,81669273,12.54,13.482,8.78535,8.67185,AluGG-MRE11_hg38_final_peak_87
chr18,47096878,47097288,411,47097129,12.54,13.482,8.78535,8.67185,AluGG-MRE11_hg38_final_peak_90
chr2,219046735,219047175,441,219046979,25.07,19.6141,8.69133,14.55996,AluGG-MRE11_hg38_final_peak_111
chr7,1623192,1623623,432,1623349,13.73,13.34004,8.63307,8.54587,AluGG-MRE11_hg38_final_peak_170
chr14,60112975,60113273,299,60113148,11.94,12.09981,8.39791,7.34334,AluGG-MRE11_hg38_final_peak_57
chr17,51140725,51140961,237,51140857,11.94,12.09981,8.39791,7.34334,AluGG-MRE11_hg38_final_peak_82
chr17,81729285,81729556,272,81729376,11.94,12.09981,8.39791,7.34334,AluGG-MRE11_hg38_final_peak_88
chr2,73379207,73379551,345,73379329,11.94,12.09981,8.39791,7.34334,AluGG-MRE11_hg38_final_peak_104
chr3,188755359,188755696,338,188755527,11.94,12.09981,8.39791,7.34334,AluGG-MRE11_hg38_final_peak_137
chrX,68449659,68450039,381,68449856,11.94,12.09981,8.39791,7.34334,AluGG-MRE11_hg38_final_peak_201
chr3,159749023,159749330,308,159749195,12.54,12.81147,8.39677,8.0324,AluGG-MRE11_hg38_final_peak_133
chr11,65667710,65668396,687,65668133,15.52,13.72868,8.261,8.90915,AluGG-MRE11_hg38_final_peak_38
chr14,59444402,59444878,477,59444563,15.52,13.72868,8.261,8.90915,AluGG-MRE11_hg38_final_peak_56
chr11,100047738,100048213,476,100048060,14.93,12.88992,8.20117,8.10846,AluGG-MRE11_hg38_final_peak_40
chr2,70237499,70238023,525,70237623,24.48,17.92066,8.16822,12.92939,AluGG-MRE11_hg38_final_peak_102
chrX,114717811,114718448,638,114718256,31.64,21.41391,8.16025,16.28959,AluGG-MRE11_hg38_final_peak_209
chr10,97310871,97311471,601,97311347,23.28,17.40049,8.09433,12.43737,AluGG-MRE11_hg38_final_peak_32
chr6,134295328,134295873,546,134295456,14.33,13.20496,8.08991,8.4165,AluGG-MRE11_hg38_final_peak_169
chr11,64938792,64939180,389,64939021,11.34,12.09981,8.01046,7.34334,AluGG-MRE11_hg38_final_peak_37
chr17,45887467,45887944,478,45887822,11.34,12.09981,8.01046,7.34334,AluGG-MRE11_hg38_final_peak_79
chr17,80896917,80897456,540,80897151,11.34,12.09981,8.01046,7.34334,AluGG-MRE11_hg38_final_peak_86
chr5,112197973,112198350,378,112198282,11.34,12.09981,8.01046,7.34334,AluGG-MRE11_hg38_final_peak_152
chr9,36166769,36167090,322,36166973,11.34,12.09981,8.01046,7.34334,AluGG-MRE11_hg38_final_peak_190
chr6,34158114,34158662,549,34158283,14.93,12.52288,7.9625,7.74983,AluGG-MRE11_hg38_final_peak_162
chr8,144982489,144982870,382,144982737,14.93,12.52288,7.9625,7.74983,AluGG-MRE11_hg38_final_peak_185
chr1,226007884,226008354,471,226008248,14.33,12.88992,7.89373,8.10846,AluGG-MRE11_hg38_final_peak_24
chr6,128371570,128372000,431,128371865,14.33,12.88992,7.89373,8.10846,AluGG-MRE11_hg38_final_peak_167
chr14,102639136,102639790,655,102639321,16.12,13.82834,7.86269,9.00394,AluGG-MRE11_hg38_final_peak_63
chr6,130844687,130845134,448,130844836,13.13,12.61708,7.84993,7.84197,AluGG-MRE11_hg38_final_peak_168
chrX,18912829,18913234,406,18913092,17.91,13.68559,7.83771,8.87131,AluGG-MRE11_hg38_final_peak_199
chr5,69174153,69175000,848,69174775,22.09,16.31975,7.69633,11.39163,AluGG-MRE11_hg38_final_peak_149
chr10,100144194,100144779,586,100144360,14.33,12.52288,7.664,7.74983,AluGG-MRE11_hg38_final_peak_33
chr2,155696940,155697427,488,155697196,10.75,10.75215,7.62301,6.07106,AluGG-MRE11_hg38_final_peak_107
chr3,129475061,129475300,240,129475142,10.75,10.75215,7.62301,6.07106,AluGG-MRE11_hg38_final_peak_129
chr1,118909425,118909912,488,118909529,15.52,12.66699,7.58849,7.891,AluGG-MRE11_hg38_final_peak_9
chr4,144373320,144373693,374,144373374,11.94,10.77472,7.58345,6.08908,AluGG-MRE11_hg38_final_peak_143
chr14,35718943,35719504,562,35719292,21.49,15.25735,7.49733,10.36312,AluGG-MRE11_hg38_final_peak_54
chr6,43048626,43049300,675,43048747,21.49,15.25735,7.49733,10.36312,AluGG-MRE11_hg38_final_peak_164
chr10,77509036,77509391,356,77509246,10.15,10.75215,7.23557,6.07106,AluGG-MRE11_hg38_final_peak_29
chr3,154002931,154003257,327,154003091,10.15,10.75215,7.23557,6.07106,AluGG-MRE11_hg38_final_peak_132
chr7,129034215,129034524,310,129034422,10.15,10.75215,7.23557,6.07106,AluGG-MRE11_hg38_final_peak_175
chr6,10831722,10832322,601,10832209,20.3,14.2141,7.09933,9.37998,AluGG-MRE11_hg38_final_peak_160
chr22,36541368,36541778,411,36541711,14.33,11.53174,7.04009,6.81893,AluGG-MRE11_hg38_final_peak_122
chr8,97795887,97796420,534,97796111,14.33,11.53174,7.04009,6.81893,AluGG-MRE11_hg38_final_peak_184
chr10,110516194,110516762,569,110516535,10.75,9.69513,6.98003,5.07163,AluGG-MRE11_hg38_final_peak_34
chrX,100622099,100622589,491,100622374,10.75,9.69513,6.98003,5.07163,AluGG-MRE11_hg38_final_peak_206
chr9,127880639,127881159,521,127880874,12.54,10.51176,6.97138,5.86352,AluGG-MRE11_hg38_final_peak_196
chr1,150726545,150726811,267,150726618,10.15,10.1888,6.91554,5.55671,AluGG-MRE11_hg38_final_peak_11
chr12,47212048,47212349,302,47212229,10.75,9.5425,6.88371,4.92082,AluGG-MRE11_hg38_final_peak_44
chr5,145478226,145478618,393,145478338,10.75,9.5425,6.88371,4.92082,AluGG-MRE11_hg38_final_peak_155
chr2,222209576,222210053,478,222209635,9.55,9.442,6.84812,4.82612,AluGG-MRE11_hg38_final_peak_112
chr8,53808487,53808880,394,53808547,12.54,10.19656,6.7685,5.5591,AluGG-MRE11_hg38_final_peak_178
chr14,35509125,35509454,330,35509305,9.55,9.2613,6.74216,4.66509,AluGG-MRE11_hg38_final_peak_53
chrX,101307667,101308334,668,101308148,19.1,13.19086,6.70133,8.40282,AluGG-MRE11_hg38_final_peak_207
chr9,34095344,34095855,512,34095604,14.93,10.4394,6.60051,5.7919,AluGG-MRE11_hg38_final_peak_188
chr12,50431793,50432301,509,50432155,11.94,9.08008,6.47,4.48729,AluGG-MRE11_hg38_final_peak_45
chr2,44193714,44194006,293,44193805,8.96,8.17287,6.46068,3.61157,AluGG-MRE11_hg38_final_peak_101
chr8,72463983,72464318,336,72464011,8.96,8.17287,6.46068,3.61157,AluGG-MRE11_hg38_final_peak_180
chr14,70360041,70360401,361,70360266,11.34,9.3694,6.35649,4.7686,AluGG-MRE11_hg38_final_peak_59
chr1,205295178,205295705,528,205295644,14.33,10.4394,6.35307,5.7919,AluGG-MRE11_hg38_final_peak_22
chr19,43423861,43424117,257,43423985,9.55,8.34769,6.18397,3.77862,AluGG-MRE11_hg38_final_peak_95
chr1,158033702,158034087,386,158033984,10.75,8.37302,6.12329,3.80301,AluGG-MRE11_hg38_final_peak_15
chr1,153603133,153603641,509,153603302,17.31,11.20838,6.10433,6.51508,AluGG-MRE11_hg38_final_peak_12
chr11,117155847,117156385,539,117155955,17.31,11.20838,6.10433,6.51508,AluGG-MRE11_hg38_final_peak_41
chr17,39721344,39721601,258,39721557,8.36,8.17287,6.07323,3.61157,AluGG-MRE11_hg38_final_peak_78
chr4,177257191,177257634,444,177257461,8.36,8.17287,6.07323,3.61157,AluGG-MRE11_hg38_final_peak_146
chr7,32809715,32810038,324,32809954,8.36,8.17287,6.07323,3.61157,AluGG-MRE11_hg38_final_peak_171
chr8,88762223,88762592,370,88762350,8.36,8.17287,6.07323,3.61157,AluGG-MRE11_hg38_final_peak_183
chr2,206673248,206673607,360,206673300,7.76,6.94899,5.68578,2.46081,AluGG-MRE11_hg38_final_peak_108
chr3,52285498,52285829,332,52285522,10.75,7.64956,5.63881,3.13828,AluGG-MRE11_hg38_final_peak_128
chr11,8921625,8921945,321,8921696,10.15,7.99793,5.5745,3.46967,AluGG-MRE11_hg38_final_peak_36
chr17,64421804,64422503,700,64421875,15.52,9.31879,5.50733,4.72111,AluGG-MRE11_hg38_final_peak_85
chr1,201464761,201465097,337,201465056,9.55,7.19065,5.43415,2.6959,AluGG-MRE11_hg38_final_peak_21
chr1,185082282,185082792,511,185082349,14.93,8.41215,5.30833,3.8379,AluGG-MRE11_hg38_final_peak_20
chr12,120727890,120728204,315,120728024,14.93,8.41215,5.30833,3.8379,AluGG-MRE11_hg38_final_peak_48
chr3,186758978,186759504,527,186759124,14.93,8.41215,5.30833,3.8379,AluGG-MRE11_hg38_final_peak_136
chr5,129084571,129085050,480,129084857,14.93,8.41215,5.30833,3.8379,AluGG-MRE11_hg38_final_peak_153
chr7,75914184,75914596,413,75914214,7.16,6.94899,5.29834,2.46081,AluGG-MRE11_hg38_final_peak_173
chr2,210013250,210013598,349,210013313,9.55,6.95302,5.276,2.46081,AluGG-MRE11_hg38_final_peak_109
chrX,86698450,86698868,419,86698793,9.55,6.95302,5.276,2.46081,AluGG-MRE11_hg38_final_peak_204
chr16,48412879,48413213,335,48413075,8.96,5.94877,4.9775,1.51621,AluGG-MRE11_hg38_final_peak_73
chr7,59511963,59512800,838,59512795,8.96,5.94877,4.9775,1.51621,AluGG-MRE11_hg38_final_peak_172
chr1,72565176,72565720,545,72565423,11.34,5.86499,4.11433,1.44741,AluGG-MRE11_hg38_final_peak_8
chr16,34573337,34574003,667,34573941,48.95,15.63884,3.98453,10.73722,AluGG-MRE11_hg38_final_peak_71
chrUn_KI270467v1,3067,3577,511,3465,89.55,10.57041,2.15595,5.91874,AluGG-MRE11_hg38_final_peak_198
chrUn_KI270467v1,2311,2562,252,2421,88.36,6.37874,1.75208,1.93423,AluGG-MRE11_hg38_final_peak_197
